id,coin,side,status,iv,closed_age_h,real_pnl,cf_kind,cf_pnl,delta,cf_at,trunc,who
46,ETH,P,closed_manual,0.399,56.5,2.63,time_stop,6.02,3.39,08-17 02:15,False,advisor
47,ETH,P,closed_manual,0.396,55.9,2.06,time_stop,6.44,4.38,08-17 02:50,False,advisor
48,ETH,P,closed_manual,0.395,55.1,1.79,time_stop,5.71,3.92,08-17 03:35,False,advisor
49,ETH,P,closed_manual,0.389,52.0,0.17,time_stop,4.18,4.01,08-17 04:40,False,advisor
50,ETH,P,closed_manual,0.404,75.9,-0.77,time_stop,1.63,2.4,08-17 12:30,False,advisor
56,BTC,C,closed_manual,0.281,9.6,3.02,time_stop,2.83,-0.18,08-14 23:05,False,advisor
57,BTC,C,closed_manual,0.279,9.0,2.87,time_stop,2.27,-0.6,08-14 23:40,False,advisor
58,BTC,C,closed_manual,0.278,8.5,3.07,time_stop,2.51,-0.56,08-15 00:10,False,advisor
59,BTC,C,closed_manual,0.27,8.0,3.07,time_stop,2.2,-0.87,08-15 02:20,False,advisor
60,BTC,C,closed_manual,0.268,3.9,-0.28,time_stop,-0.87,-0.6,08-15 10:45,False,advisor
61,BTC,C,closed_manual,0.279,0.3,-0.12,time_stop,-1.38,-1.26,08-15 14:45,False,advisor
62,BTC,P,closed_manual,0.232,0.2,0.37,tp2,3.54,3.17,08-18 14:25,False,advisor
63,BTC,P,closed_trail,0.224,2.5,0.91,tp2,4.09,3.18,08-19 12:40,False,trail(tight)
66,BTC,P,closed_trail,0.437,48.9,6.44,tp2,10.35,3.92,08-24 14:20,False,trail(tight)
67,ETH,P,closed_trail,0.609,6.8,7.79,tp2,17.8,10.01,08-24 11:35,False,trail(tight)
68,ETH,P,closed_trail,0.593,24.4,9.5,tp2,16.92,7.42,08-25 02:25,False,trail(tight)
69,BTC,P,closed_trail,0.465,0.6,2.43,tp2,10.59,8.16,08-25 02:20,False,trail(tight)
70,BTC,P,closed_trail,0.49,0.7,0.87,MTM_now,0.19,-0.69,08-26 17:35,True,trail(tight)
71,BTC,P,closed_trail,0.456,9.2,1.07,MTM_now,0.27,-0.81,08-26 17:35,True,trail(tight)
72,BTC,P,closed_trail,0.43,1.5,1.97,MTM_now,-4.92,-6.89,08-26 17:35,True,trail(tight)
